event_type,event_date,day,car
spike,2008-11-04,12,-0.4059826115773377
spike,2008-11-04,13,-0.4314530069818151
spike,2008-11-04,14,-0.4971599942363949
spike,2008-11-04,15,-0.4737924734585524
spike,2008-11-04,16,-0.3578761927860164
spike,2008-11-04,17,-0.39534743548497747
spike,2008-11-04,18,-0.3870018311250265
spike,2008-11-04,19,-0.43064688898228964
spike,2008-11-04,20,-0.39963105635098817
spike,2008-12-12,1,0.025878016435861143
spike,2008-12-12,2,0.024449696051300228
spike,2008-12-12,3,0.04072841467167613
spike,2008-12-12,4,0.07152167367914239
spike,2008-12-12,5,0.10593586834966914
spike,2008-12-12,6,0.10223166316601492
spike,2008-12-12,7,0.09490343425858938
spike,2008-12-12,8,0.09493235667344066
spike,2008-12-12,9,0.12368219205488427
spike,2008-12-12,10,0.11037110407374602
spike,2008-12-12,11,0.11676654263674789
spike,2008-12-12,12,0.10977374572188538
spike,2008-12-12,13,0.12501073867635254
spike,2008-12-12,14,0.1401743587685089
spike,2008-12-12,15,0.1229595067603256
spike,2008-12-12,16,0.16158204901517426
spike,2008-12-12,17,0.1927687962350505
spike,2008-12-12,18,0.21894970848972348
spike,2008-12-12,19,0.18435680598465504
spike,2008-12-12,20,0.18557659745883426
spike,2009-01-21,1,-0.11171568960007995
spike,2009-01-21,2,-0.024795054193905472
spike,2009-01-21,3,-0.07427966518596846
spike,2009-01-21,4,-0.09000759845895254
spike,2009-01-21,5,-0.22654357108895173
spike,2009-01-21,6,-0.2085328508114239
spike,2009-01-21,7,-0.24201887405045197
spike,2009-01-21,8,-0.3197218785892399
spike,2009-01-21,9,-0.3313202231839509
spike,2009-01-21,10,-0.3585273953876222
spike,2009-01-21,11,-0.3897603650086089
spike,2009-01-21,12,-0.40584180844913764
spike,2009-01-21,13,-0.37766112415584313
spike,2009-01-21,14,-0.3968654781332571
spike,2009-01-21,15,-0.3729891561358809
spike,2009-01-21,16,-0.44244441222377767
spike,2009-01-21,17,-0.40757119330004554
spike,2009-01-21,18,-0.3860688803458455
spike,2009-01-21,19,-0.38961234778325615
spike,2009-01-21,20,-0.5126501667787815
spike,2009-02-20,1,-0.05821827464292514
spike,2009-02-20,2,0.05334026081785553
spike,2009-02-20,3,0.04688264943742778
spike,2009-02-20,4,-0.008643233703805021
spike,2009-02-20,5,-0.003573147644120169
spike,2009-02-20,6,-0.08789516774974507
spike,2009-02-20,7,-0.14512108312875693
spike,2009-02-20,8,-0.20724746127091592
spike,2009-02-20,9,-0.19324776611073807
spike,2009-02-20,10,-0.26018460580729147
spike,2009-02-20,11,-0.20613019133980254
spike,2009-02-20,12,-0.19617095240974378
spike,2009-02-20,13,-0.1418451232963543
spike,2009-02-20,14,-0.07727521126636167
spike,2009-02-20,15,-0.04565717454723765
spike,2009-02-20,16,0.014665779645300504
spike,2009-02-20,17,-0.058098885297817045
spike,2009-02-20,18,-0.022620096672947128
spike,2009-02-20,19,-0.020653355910878444
