ticker,name,n_years,mean_car,mean_car_pct,t_stat,p_value,stars,win_rate
DAL,Delta Air Lines,10,0.002950754030680372,0.2950754030680372,0.09984934261875295,0.922652722175165,,50.0
UAL,United Airlines,10,-0.005431180924915168,-0.5431180924915168,-0.20047364089736547,0.8455671403766066,,50.0
AAL,American Airlines,10,-0.008612745992252402,-0.8612745992252402,-0.21203271383540312,0.8368055783538313,,50.0
LUV,Southwest Airlines,10,-0.019675292177616516,-1.9675292177616517,-1.0524702107454014,0.3200196667849462,,40.0
JBLU,JetBlue,10,-0.023779732079636597,-2.3779732079636595,-1.26046527858463,0.23919901849117953,,30.0
