ticker,year,car,mean_ar,std_ar,n_days,alpha,beta
DAL,2015,-0.03316734227886489,-0.0016583671139432446,0.019046858129253278,20,-0.000793526357795186,1.1303774474564534
DAL,2016,0.07579998295557604,0.003789999147778802,0.0166942694596241,20,-0.0026547333755017,1.432700837613029
DAL,2017,0.03955287657346802,0.001977643828673401,0.011904148864013947,20,-0.001345539563201403,2.1282783140234023
DAL,2018,0.00908562322847796,0.00045428116142389797,0.014098624322400052,20,0.00012865343073421902,0.9988264663503054
DAL,2019,-0.10774795156347924,-0.005387397578173962,0.007344469446660155,20,0.0017004420935408317,0.672147827810784
DAL,2021,-0.02168050593782138,-0.001084025296891069,0.018082197411999224,20,0.0016884382684450054,0.7273277520089618
DAL,2022,-0.0773134098258692,-0.00386567049129346,0.021743826057930866,20,0.0031442663631871762,1.570934168237159
DAL,2023,0.07791622885173363,0.0038958114425866816,0.016611922217965338,20,-0.0021958942702533808,1.158250780668665
DAL,2024,-0.11448410113058433,-0.005724205056529217,0.011112592114971506,20,0.0036386191014780756,1.0523708282124495
DAL,2025,0.18154613943416711,0.009077306971708356,0.022880494350847207,20,-0.006162716845781919,1.8389015968923446
UAL,2015,-0.05141432084235545,-0.0025707160421177726,0.03031287287756555,20,-0.002410848953362952,0.908347529273009
UAL,2016,0.007527238055627522,0.0003763619027813761,0.016595658237588785,20,-0.0026278688388484744,1.4542630332106636
UAL,2017,0.08184942987226111,0.004092471493613055,0.014902125109622045,20,-0.001375266827650877,2.3624594995219756
UAL,2018,-0.021330054004872118,-0.001066502700243606,0.01554016296214763,20,0.001216169797176134,0.8170922062684248
UAL,2019,-0.07405690130160572,-0.003702845065080286,0.008489445908396008,20,-0.0008853453044360444,0.6316425494458153
UAL,2021,0.011409137985598207,0.0005704568992799103,0.016770405243186376,20,0.0026207377213982638,1.1461695339993445
UAL,2022,-0.1390127607013801,-0.006950638035069005,0.025743963334605307,20,0.004852701658992048,1.8541150365876236
UAL,2023,0.09482802144480543,0.004741401072240271,0.017731601665084532,20,-0.0022352994621682907,0.9513391053989253
UAL,2024,-0.08674998428250928,-0.004337499214125464,0.018674443482255196,20,0.0033717785522439756,1.0748618919179649
UAL,2025,0.12263838452527874,0.006131919226263937,0.0272570245052416,20,-0.004887569241489214,2.1280298004007596
LUV,2015,-0.07361389567004327,-0.0036806947835021633,0.02770457781663715,20,-0.0012932700286193846,0.8589724915476673
LUV,2016,-0.06460551861091253,-0.0032302759305456266,0.012371514837177529,20,0.0010160796476962862,1.1981353227920732
LUV,2017,0.0068461579855562255,0.00034230789927781126,0.009880114681582406,20,0.00020226050852462053,2.1925801860833567
LUV,2018,-0.018423748000439406,-0.0009211874000219703,0.014971305102224573,20,-0.0013487810990428623,0.9023212539679379
LUV,2019,-0.0490254280278433,-0.002451271401392165,0.012755051815644857,20,-0.0018265369997626426,0.4943090540887417
LUV,2021,-0.10275187787733135,-0.005137593893866568,0.013186516502615,20,0.003865488622892217,0.7661807734153805
LUV,2022,-0.0581182871926852,-0.0029059143596342598,0.017838052750692175,20,0.002481855438435382,1.074309717305624
LUV,2023,0.04436362985929937,0.0022181814929649684,0.017440710152048747,20,-0.0030674043743767563,0.9625705324207914
LUV,2024,0.05731673235559291,0.0028658366177796457,0.020705446368509413,20,-0.002715196408003365,0.31843155601347417
LUV,2025,0.06125931340264133,0.0030629656701320666,0.015964612160689694,20,0.000711875171564017,1.4927709388609898
