year,car,ticker
2015,-0.08087598082365496,BASKET
2016,-0.010454800855803203,BASKET
2017,0.045218387569372,BASKET
2018,-0.0015775712016992704,BASKET
2019,-0.07736474487524692,BASKET
2021,-0.03285513488598041,BASKET
2022,-0.0781371322821175,BASKET
2023,0.06870223343563839,BASKET
2024,-0.06688940741472377,BASKET
2025,0.125137757046735,BASKET
