crisis,GLD,SPY,TLT,IEF
GFC (Oct'07–Mar'09),23.91572613593329,-55.18943277723043,25.07447051352314,20.150880913399625
Debt Ceiling (Apr–Oct'11),5.637600493504724,-18.605426820626025,34.55755104226688,13.621163068234953
China/Oil (May'15–Feb'16),2.9129527582941295,-12.972362538051952,13.247553821920132,6.1874879438826635
Q4 Selloff (Sep–Dec'18),5.031942039834569,-19.348887292349904,4.53120918770944,3.3528297567518184
COVID Crash (Feb–Mar'20),-3.6168327802914235,-33.717248409413614,14.234228691071692,6.375927904237533
2022 Bear (Jan–Oct'22),-8.756434623776165,-24.059213810925296,-31.189753199642787,-16.17184716372423
Tariff Shock (Feb–Apr'25),1.6060572292743824,-18.755233666641313,0.8350635130116357,2.7311387544195265
