ticker,name,beta_market,beta_oil,beta_oil_up,beta_oil_down,asymmetry,n
DAL,Delta,1.4335126284825186,-0.15947940481211834,-0.12994613396652258,-0.08095505370872823,0.04899108025779435,4693
UAL,United,1.6891710205526185,-0.21836128114237188,-0.17276780870101294,-0.12610147353844264,0.046666335162570294,4693
LUV,Southwest,1.0578555165517451,-0.09857854980013729,-0.11260370230444379,-0.08181110423595424,0.03079259806848955,4693
AAL,American,1.756551258192216,-0.25790110850746956,-0.20796205159431785,-0.19261277132597948,0.015349280268338372,4693
JBLU,JetBlue,1.3956189723282675,-0.15551112633204464,-0.11226182586262685,-0.1572548970405738,-0.044993071177946944,4693
BASKET,Equal-Weight Basket,1.4665418792214735,-0.17796629411882847,,,,4693
